Year,Region,Sector,Month,Consumption_MWh
2024,Mindanao,Commercial,Feb,149361
2024,Mindanao,Commercial,Mar,149955
2024,Mindanao,Commercial,Apr,165372
2024,Mindanao,Commercial,May,171119
2024,Mindanao,Commercial,Jun,168514
2024,Mindanao,Commercial,Jul,156445
2024,Mindanao,Commercial,Aug,168030
2024,Mindanao,Commercial,Sep,167213
2024,Mindanao,Commercial,Oct,166257
2024,Mindanao,Commercial,Nov,174770
2024,Mindanao,Commercial,Dec,168470
2024,Mindanao,Industrial,Jan,412329
2024,Mindanao,Industrial,Feb,426554
2024,Mindanao,Industrial,Mar,418123
2024,Mindanao,Industrial,Apr,451284
2024,Mindanao,Industrial,May,454669
2024,Mindanao,Industrial,Jun,468236
2024,Mindanao,Industrial,Jul,438146
2024,Mindanao,Industrial,Aug,461057
2024,Mindanao,Industrial,Sep,477167
2024,Mindanao,Industrial,Oct,463932
2024,Mindanao,Industrial,Nov,463449
2024,Mindanao,Industrial,Dec,445647
2024,Mindanao,Others,Jan,59568
2024,Mindanao,Others,Feb,60203
2024,Mindanao,Others,Mar,60282
2024,Mindanao,Others,Apr,65551
2024,Mindanao,Others,May,64792
2024,Mindanao,Others,Jun,56171
2024,Mindanao,Others,Jul,54181
2024,Mindanao,Others,Aug,59888
2024,Mindanao,Others,Sep,57635
2024,Mindanao,Others,Oct,60832
2024,Mindanao,Others,Nov,59782
2024,Mindanao,Others,Dec,56187
2024,Mindanao,Total Sales,Jan,1078938
2024,Mindanao,Total Sales,Feb,1063885
2024,Mindanao,Total Sales,Mar,1066228
2024,Mindanao,Total Sales,Apr,1186318
2024,Mindanao,Total Sales,May,1208705
2024,Mindanao,Total Sales,Jun,1203745
2024,Mindanao,Total Sales,Jul,1114684
2024,Mindanao,Total Sales,Aug,1182790
2024,Mindanao,Total Sales,Sep,1187579
2024,Mindanao,Total Sales,Oct,1176804
2024,Mindanao,Total Sales,Nov,1201275
2024,Mindanao,Total Sales,Dec,1159553
2024,Mindanao,Own-Use,Jan,129408
2024,Mindanao,Own-Use,Feb,130071
2024,Mindanao,Own-Use,Mar,145629
2024,Mindanao,Own-Use,Apr,153809
2024,Mindanao,Own-Use,May,150783
2024,Mindanao,Own-Use,Jun,150988
2024,Mindanao,Own-Use,Jul,135038
2024,Mindanao,Own-Use,Aug,109909
2024,Mindanao,Own-Use,Sep,131001
2024,Mindanao,Own-Use,Oct,130386
